Part,Description,Link,Quantity,Unit Price,Total Price,Notes,Have/Need/Can Make
Chassis Plate,"Stainless steel sheet metal, bent and tapped. Acts as main chassis for assembly and mounting.",N/A,1,11.53,11.53,3mm Stainless Steel 304,Need
Lever Plate,"Stainless steel sheet metal, bent and tapped. Acts as pivot and lever arm for handbrake.",N/A,1,15.89,15.89,3mm Stainless Steel 304,Need
Spring Plate Small,"Stainless steel sheet metal, bent and tapped. Retains spring and bolts to pivot plate.",N/A,1,4.11,4.11,3mm Stainless Steel 304,Need
Spring Plate Large,"Stainless steel sheet metal, bent and tapped. Retains spring and bolts to chassis plate.",N/A,1,4.14,4.14,3mm Stainless Steel 304,Need
Shaft,Tapped rotary shaft. Supports rotational subassembly.,https://jlcmc.com/product/s/B10/BFJH/rotary-shaft-straight-bar-type-both-ends-internal-thread-type-unmachined-shaft?k=BFJH-S1W-7-D10-L41-M6-N6&productModelNumber=BFJH-S1W-7-D10-L%5B15.0~510.0%2F0.1%5D-M6-N6,1,5.6,5.6,"10mm OD, M6 Tapped, 41mm",Need
Flange Bearings,Flange Bearing with Dust Covers. Acts as pivot between lever and shaft.,https://jlcmc.com/product/b/C15/BR8366/deep-groove-ball-bearings-with-flange-types?k=F6700ZZ&productModelNumber=F6700ZZ,2,0.38,0.76,"15mm OD, 10mm ID",Need
Clamp Foot,Nylon clamping foot for mounting. Acts as clamping part and face to mount chassis to table.,https://jlcmc.com/product/s/D16/DACG/all-nylon-base-foot-cup-fixed-type?k=DACG-D-D50-M8-L50&productModelNumber=DACG-D-D50-M8-L50,1,0.98,0.98,"M8 Thread, 50mm Length",Need
Clamp Knob,Knob for clamping for mounting to be done by user.,https://jlcmc.com/product/s/D02/DBTJ/five-star-stud-knob?k=DBTJ-W-D40-M8&productModelNumber=DBTJ-W-D40-M8,1,0.81,0.81,"M8 Thread, External Thread",Need
16x40mm Spring,Spring to apply return force and resistance to lever motion.,https://jlcmc.com/product/s/A04/ATKA/compression-springs-inner-diameter-reference-stainless-steel-l%C3%97(28~35)-l%C3%97(20~30)?k=ATKA-L4-P-D16-L40&productModelNumber=ATKA-L4-P-D16-L40,1,0.13,0.13,,Need
16x50mm Spring,Spring to apply return force and resistance to lever motion.,https://jlcmc.com/product/s/A04/ATKA/compression-springs-inner-diameter-reference-stainless-steel-l%C3%97(28~35)-l%C3%97(20~30)?k=ATKA-L4-P-D16-L50&productModelNumber=ATKA-L4-P-D16-L50,1,0.27,0.27,,Need
18x50mm Spring,Spring to apply return force and resistance to lever motion.,https://jlcmc.com/product/s/A04/ATJT/compression-springs-outer-diameter-reference-l%C3%97(27~35)?k=ATJT-D18-L50&productModelNumber=ATJT-D18-L50,1,0.2,0.2,,Need
18x60mm Spring,Spring to apply return force and resistance to lever motion.,https://jlcmc.com/product/s/A04/ATJT/compression-springs-outer-diameter-reference-l%C3%97(27~35)?k=ATJT-D18-L60&productModelNumber=ATJT-D18-L60,1,0.2,0.2,,Need
